时间,常驻人口总量,区域生产总值,能源消费量,碳排放量,能源利用效率,非化石能源消费比重
2020,7964.95776048582,34032.6906305365,25140.8460399215,111492.9407,3.5464387270182582,0.08709237228831351
2021,8033.78728496004,40268.4409254063,25993.6781187528,115258.073873803,3.47569868315156,0.101957990451046
2022,8100.18123834115,46504.1912202742,26821.7670114613,116853.244558290,3.46316175751862,0.109375781936940
2023,8164.13962062448,52739.9415151421,27625.1127180664,118392.714707106,3.45191466274488,0.116748983911957
2024,8225.66243181191,58975.6918100119,28403.7152385525,119876.484320283,3.44187166616572,0.124095445746108
2025,8284.74967190344,65211.4421048798,29157.5745729161,121304.553397819,3.43295736917063,0.131431806196638
2026,8341.40134089906,71447.1923997477,29886.6907211614,122676.921939656,3.42510542004354,0.138773698119578
2027,8395.61743880063,77682.9426946156,30591.0636832949,123993.589945853,3.41825742984626,0.146135925323232
2028,8447.39796560444,83918.6929894853,31270.6934592992,125254.557416379,3.41236205635866,0.153532616755556
2029,8496.74292131327,90154.4432843532,31925.5800491879,126459.824351251,3.40737422798457,0.160977362244084
2030,8543.65230592620,96390.1935792211,32555.7234529690,127609.390750468,3.40325448494578,0.168483333244360
2031,8588.12611944228,102625.943874091,33161.1236706208,128703.256614015,3.39996841933683,0.176063391450315
2032,8630.16436186526,108861.694168959,33741.7807021569,129741.421941906,3.39748619903005,0.183730187652157
2033,8669.76703319047,115097.444463827,34297.6945475712,130723.886734143,3.39578216318719,0.191496252855032
2034,8706.93413342070,121333.194758695,34828.8652068852,131650.650990725,3.39483447931179,0.199374083378886
2035,8741.66566255409,127568.945053564,35335.2926800619,132521.714711666,3.39462485362438,0.207376221432060
2036,8773.96162059344,133804.695348432,35816.9769671196,133337.077896923,3.39513828796299,0.215515332473244
2037,8803.82200753596,140040.445643300,36273.9180680811,134096.740546525,3.39636287770498,0.223804280542068
2038,8831.24682338163,146276.195938168,36706.1159829092,134800.702660471,3.39828964616779,0.232256202637622
2039,8856.23606813233,152511.946233038,37113.5707116183,135448.964238748,3.40091241182188,0.240884583154075
2040,8878.78974178713,158747.696527906,37496.2822542202,136041.525281370,3.40422768540488,0.249703329339917
2041,8898.90784434788,164983.446822774,37854.2506106920,136578.385788336,3.40823459462763,0.258726848725507
2042,8916.59037581086,171219.197117643,38187.4757810484,137059.545759633,3.41293483470993,0.267970129466378
2043,8931.83733617887,177454.947412511,38495.9577652793,137485.005195275,3.41833264353575,0.277448824571134
2044,8944.64872545004,183690.697707379,38779.6965634134,137854.764095291,3.42443480060601,0.287179341027366
2045,8955.02454362623,189926.448002247,39038.6921754181,138168.822459623,3.43125064942896,0.297178934901452
2046,8962.96479070839,196162.198297117,39272.9446012999,138427.180288285,3.43879214338676,0.307465813576176
2047,8968.46946669184,202397.948591985,39482.4538410741,138629.837581292,3.44707391552845,0.318059246403996
2048,8971.53857158031,208633.698886853,39667.2198947151,138776.794338644,3.45611337314027,0.328979685189501
2049,8972.17210537288,214869.449181722,39827.2427622408,138868.050560340,3.46593081836597,0.340248896084523
2050,8970.37006807048,221105.199476590,39962.5224436743,138903.606246367,3.47654959664242,0.351890104690622
2051,8966.13245967310,227340.949771458,40073.0589389661,138883.461396739,3.48799627517509,0.363928156406102
2052,8959.45928017795,233576.700066326,40158.8522481362,138807.616011456,3.50030085425934,0.376389694351565
2053,8950.35052958783,239812.450361196,40219.9023711944,138676.070090532,3.51349701488755,0.389303357570915
2054,8938.80620790180,246048.200656064,40256.2093081451,138488.823633924,3.52762240680040,0.402700002622556
2055,8924.82631511986,252283.950950932,40267.7730589625,138245.876641661,3.54271898199457,0.416612952188639
2056,8908.41085124388,258519.701245800,40254.5936236647,137947.229113743,3.55883337968281,0.431078274948724
2057,8889.55981627014,264755.451540669,40216.6710022634,137592.881050155,3.57601736988102,0.446135101693709
2058,8868.27321020048,270991.201835537,40154.0051947280,137182.832450911,3.59432836421653,0.461825983554664
2059,8844.55103303492,277226.952130405,40066.5962010778,136717.083316013,3.61383000416906,0.478197299295021
2060,8818.39328477439,283462.702425275,39954.4440213128,136195.633645460,3.63459283908672,0.495299719931463
2061,8789.79996541981,289698.452720143,39817.5486554289,135618.483439237,3.65669510869128,0.513188740547376
2062,8758.77107496653,295934.203015011,39655.9101034265,134985.632697389,3.68022364784171,0.531925291125214
2063,8725.30661341827,302169.953309879,39469.5283653089,134297.081419855,3.70527493502751,0.551576440644788
2064,8689.40658077411,308405.703604748,39258.4034410687,133552.829606652,3.73195631062217,0.572216211682120
2065,8651.07097703405,314641.453899616,39022.5353307102,132752.877257809,3.76038739656943,0.593926526456273
2066,8610.29980220087,320877.204194484,38761.9240342288,131897.224373296,3.79070175632330,0.616798309933460
2067,8567.09305626899,327112.954489352,38476.5695516553,130985.870953113,3.82304884269639,0.640932781421333
2068,8521.45073924214,333348.704784222,38166.4718829365,130018.816997290,3.85759629256020,0.666442973494498
2069,8473.37285111845,339584.455079090,37831.6310281034,128996.062505797,3.89453264160741,0.693455526478331
2070,8422.85939189978,345820.205373958,37472.0469871620,127917.607478648,3.93407055078992,0.722112818782549
2071,8369.91036158707,352055.955668828,37087.7197600908,126783.451915830,3.97645065960450,0.752575508908803
2072,8314.52576017659,358291.705963695,36678.6493469090,125593.595817402,4.02194621216395,0.785025585159908
2073,8256.70558767021,364527.456258563,36244.8357476227,124348.039183274,4.07086864227562,0.819670045561009
2074,8196.44984406792,370763.206553431,35786.2789621959,123046.782013491,4.12357435688584,0.856745365465678
2075,8133.75852937065,376998.956848301,35302.9789906535,121689.824308038,4.18047302815708,0.896522956945917
2076,8068.63164357841,383234.707143169,34794.9358329964,120277.166066930,4.24203779989653,0.939315886827556
2077,8001.06918668933,389470.457438037,34262.1494892356,118808.807290167,4.30881794375021,0.985487205544881
2078,7931.07115870435,395706.207732907,33704.6199593372,117284.747977749,4.38145467898681,1.03546035630421
2079,7858.63755962346,401941.958027774,33122.3472433281,115704.988129660,4.46070111770070,1.08973229718860
2080,7783.76838944666,408177.708322642,32515.3313412145,114069.527745932,4.54744764688671,1.14889019871653
2081,7706.46364817582,414413.458617510,31883.5722529599,112378.366826564,4.64275455783176,1.21363290762120
2082,7626.72333580721,420649.208912380,31227.0699785983,110631.505371496,4.74789445692827,1.28479884348948
2083,7544.54745234363,426884.959207248,30545.8245181213,108828.943380788,4.86440805787797,1.36340269594843
2084,7459.93599778321,433120.709502116,29839.8358715221,106970.680854410,4.99417855366545,1.45068434130988
2085,7372.88897212967,439356.459796984,29109.1040388038,105056.717792377,5.13953221017977,1.54817500467046
2086,7283.40637537837,445592.210091854,28353.6290199638,103087.054194674,5.30337664000333,1.65778820358630
2087,7191.48820753116,451827.960386721,27573.4108150229,101061.690061316,5.48939431837261,1.78194702364412
2088,7097.13446858805,458063.710681589,26768.4494239411,98980.6253923029,5.70231892539199,1.92376586763795
2089,7000.34515854903,464299.460976459,25938.7448467521,96843.8601876348,5.94833904899733,2.08731596813509
2090,6901.12027741689,470535.211271327,25084.2970834479,94651.3944473416,6.23570342663685,2.27802344932486
2091,6799.45982518606,476770.961566195,24205.1061340289,92403.2281713486,6.57565575960412,2.50328414443113
2092,6695.36380186025,483006.711861063,23301.1719984759,90099.3613597006,6.98392936959196,2.77344661405206
2093,6588.83220743760,489242.462155933,22372.4946768268,87739.7940123826,7.48323622657143,3.10344914962014
2094,6479.86504191998,495478.212450800,21419.0741690442,85324.5261294246,8.10761839154680,3.51568166307971
2095,6368.46230530832,501713.962745668,20440.9104751388,82853.5577107966,8.91051932176045,4.04529408220248
2096,6254.62399759889,507949.713040538,19438.0035951226,80326.8887565136,9.98090138036147,4.75079663103681
2097,6138.35011879448,514185.463335406,18410.3535289986,77744.5192665607,11.4786322205828,5.73733300138193
2098,6019.64066889323,520421.213630274,17357.9602767481,75106.4492409676,13.7227035054247,7.21470067208361
2099,5898.49564789701,526656.963925142,16280.8238383720,72412.6786797047,17.4547929778493,9.67069229605244
2100,5774.91505580582,532892.714220012,15178.9442138993,69663.2075828016,24.8861808901389,14.5596391797973
